Time [s],Channel 2
3.317904083,1
3.318008250,0
3.318112417,1
3.318216667,0
3.318425000,1
3.318633333,0
3.318841750,1
3.319154250,0
3.319258500,1
3.319466833,0
3.319779333,1
3.319987750,0
3.320196083,1
3.320508667,0
3.320821167,1
3.320925417,0
3.321029583,1
3.321342083,0
3.321550500,1
3.321863000,0
3.321967250,1
3.322071417,0
3.322279750,1
3.322383917,0
3.322488167,1
3.322696500,0
3.322904833,1
3.323217417,0
3.323321583,1
3.323738333,0
3.323842500,1
3.324050917,0
3.324259250,1
3.324571833,0
3.324780167,1
3.325092750,0
3.325196917,1
3.325405250,0
3.325509417,1
3.325926167,0
3.326551250,1
3.326655500,0
3.326863833,1
3.327280583,0
3.327384750,1
3.327593083,0
3.327801500,1
3.328114000,0
3.328218167,1
3.328634917,0
3.328947500,1
3.329051667,0
3.329155833,1
3.329468417,0
3.329676750,1
3.329989333,0
3.330093500,1
3.330197667,0
3.330614417,1
3.330822750,0
3.330927000,1
3.331343667,0
3.331552083,1
3.331656250,0
3.331864583,1
3.332177167,0
3.332385500,1
3.332698083,0
3.333010667,1
3.333114833,0
3.333219000,1
3.333531583,0
3.333739917,1
3.334052500,0
3.334156667,1
3.334260833,0
3.334365000,1
3.334469167,0
3.334677583,1
3.334885917,0
3.335094333,1
3.335406833,0
3.335719417,1
3.335823583,0
3.336031917,1
3.336240333,0
3.336344500,1
3.336761250,0
3.336969583,1
3.337282167,0
3.337386333,1
3.337490500,0
3.337803083,1
3.338115583,0
3.338324000,1
3.338636500,0
3.338740667,1
3.338844917,0
3.339157417,1
3.339470000,0
3.339678333,1
3.339990917,0
3.340095083,1
3.340199250,0
3.340511833,1
3.340824333,0
3.341032750,1
3.341345250,0
3.341449500,1
3.341553667,0
3.341866167,1
3.342178750,0
3.342803833,1
3.342908000,0
3.343116417,1
3.343533083,0
3.344158250,1
3.344262417,0
3.344470750,1
3.344887500,0
3.345512583,1
3.345616750,0
3.345825167,1
3.346241917,0
3.346867000,1
3.346971167,0
3.347179500,1
3.347596250,0
3.348221333,1
3.348325583,0
3.348533917,1
3.348950667,0
3.349575750,1
3.349679917,0
3.349888333,1
3.350305000,0
3.350930167,1
3.351034333,0
3.351242667,1
3.351659417,0
3.352284500,1
3.352388667,0
3.352597083,1
3.353013750,0
3.353638917,1
3.353743083,0
3.353951417,1
3.354368167,0
3.354576500,1
3.354680750,0
3.354784917,1
3.354889083,0
3.354993250,1
3.355097417,0
3.355305833,1
3.355722583,0
3.355826750,1
3.355930917,0
3.356035083,1
3.356243500,0
3.356660167,1
3.357076917,0
3.357285333,1
3.357389500,0
3.357493667,1
3.357597833,0
3.358118750,1
3.358431333,0
3.358639667,1
3.358743833,0
3.358848083,1
3.358952250,0
3.359056417,1
3.359160583,0
3.359369000,1
3.359785667,0
3.359994083,1
3.360098250,0
3.360202417,1
3.360306583,0
3.360410750,1
3.360515000,0
3.360723333,1
3.361140083,0
3.361348417,1
3.361452583,0
3.361556833,1
3.361661000,0
3.361765167,1
3.361869333,0
3.362077750,1
3.362494417,0
3.362702833,1
3.362807000,0
3.362911167,1
3.363015333,0
3.363119583,1
3.363223750,0
3.363432083,1
3.363848833,0
3.364057167,1
3.364161417,0
3.364265583,1
3.364369750,0
3.364473917,1
3.364578083,0
3.364786500,1
3.365203250,0
3.365411583,1
3.365515750,0
3.365619917,1
3.365724167,0
3.365828333,1
3.365932500,0
3.366140833,1
3.366557583,0
3.366765917,1
3.366870167,0
3.366974333,1
3.367078500,0
3.367182667,1
3.367286833,0
3.367495250,1
3.367912000,0
3.368120333,1
3.368224500,0
3.368328667,1
3.368432917,0
3.368537083,1
3.368641250,0
3.368849583,1
3.369266333,0
3.369474750,1
3.369578917,0
3.369683083,1
3.369787250,0
3.369891417,1
3.369995667,0
3.370204000,1
3.370620750,0
3.370829083,1
3.370933250,0
3.371037500,1
3.371141667,0
3.371245833,1
3.371350000,0
3.371558417,1
3.371975083,0
3.372183500,1
3.372287667,0
3.372391833,1
3.372496000,0
3.372600250,1
3.372704417,0
3.372912750,1
3.373329500,0
3.373537833,1
3.373642083,0
3.373746250,1
3.373850417,0
3.373954583,1
3.374058750,0
3.374267167,1
3.374683917,0
3.374892250,1
3.374996417,0
3.375100583,1
3.375204750,0
3.375309000,1
3.375413167,0
3.375621500,1
3.376038250,0
3.376246583,1
3.376350833,0
3.376455000,1
3.376559167,0
3.376663333,1
3.376767500,0
3.376975917,1
3.377392667,0
3.377601000,1
3.377705167,0
3.377809333,1
3.377913583,0
3.378017750,1
3.378121917,0
3.378330250,1
3.378747000,0
3.378955417,1
3.379059583,0
3.379163750,1
3.379267917,0
3.379372083,1
3.379476333,0
3.379684667,1
3.380101417,0
3.380309750,1
3.380413917,0
3.380518167,1
3.380622333,0
3.380726500,1
3.380830667,0
3.381039083,1
3.381455750,0
3.381664167,1
3.381768333,0
3.381872500,1
3.381976667,0
3.382080917,1
3.382185083,0
3.382393417,1
3.382810167,0
3.383018500,1
3.383122667,0
3.383226917,1
3.383331083,0
3.383435250,1
3.383539417,0
3.383747833,1
3.384164500,0
3.384372917,1
3.384477083,0
3.384581250,1
3.384685417,0
3.384789667,1
3.384893833,0
3.385102167,1
3.385518917,0
3.385727250,1
3.385831500,0
3.385935667,1
3.386039833,0
3.386144000,1
3.386248167,0
3.386456583,1
3.386873333,0
3.387081667,1
3.387185833,0
3.387290000,1
3.387394250,0
3.387498417,1
3.387602583,0
3.387810917,1
3.388227667,0
3.388436083,1
3.388540250,0
3.388644417,1
3.388748583,0
3.388852750,1
3.388957000,0
3.389165333,1
3.389582083,0
3.389790417,1
3.389894583,0
3.389998833,1
3.390103000,0
3.390207167,1
3.390311333,0
3.390519667,1
3.390936417,0
3.391144833,1
3.391249000,0
3.391353167,1
3.391457333,0
3.391561500,1
3.391665750,0
3.391874083,1
3.392290833,0
3.392499167,1
3.392603333,0
3.392707583,1
3.392811750,0
3.392915917,1
3.393020083,0
3.393228500,1
3.393645167,0
3.393853583,1
3.393957750,0
3.394061917,1
3.394166083,0
3.394270333,1
3.394374500,0
3.394582833,1
3.394999583,0
3.395207917,1
3.395312167,0
3.395416333,1
3.395520500,0
3.395624667,1
3.395728833,0
3.395937250,1
3.396354000,0
3.396562333,1
3.396666500,0
3.396770667,1
3.396874833,0
3.396979083,1
3.397083250,0
3.397291583,1
3.397708333,0
3.397916750,1
3.398020917,0
3.398125083,1
3.398229250,0
3.398333417,1
3.398437583,0
3.398646000,1
3.399062750,0
3.399271083,1
3.399375250,0
3.399479417,1
3.399583667,0
3.399687833,1
3.399792000,0
3.400000333,1
3.400417083,0
3.400625500,1
3.400729667,0
3.400833833,1
3.400938000,0
3.401042167,1
3.401146417,0
3.401354750,1
3.401771500,0
3.401979833,1
3.402084000,0
3.402188250,1
3.402292417,0
3.402396583,1
3.402500750,0
3.402709167,1
3.403125833,0
3.403334250,1
3.403438417,0
3.403542583,1
3.403646750,0
3.403751000,1
3.403855167,0
3.404063500,1
3.404480250,0
3.404688583,1
3.404792750,0
3.404897000,1
3.405001167,0
3.405105333,1
3.405209500,0
3.405417917,1
3.405834583,0
3.406043000,1
3.406147167,0
3.406251333,1
3.406355500,0
3.406459750,1
3.406563917,0
3.406772250,1
3.407189000,0
3.407397333,1
3.407501583,0
3.407605750,1
3.407709917,0
3.407814083,1
3.407918250,0
3.408126667,1
3.408543417,0
3.408751750,1
3.408855917,0
3.408960083,1
3.409064333,0
3.409168500,1
3.409272667,0
3.409481000,1
3.409897750,0
3.410106167,1
3.410210333,0
3.410314500,1
3.410418667,0
3.410522833,1
3.410627083,0
3.410835417,1
3.411252167,0
3.411460500,1
3.411564667,0
3.411668917,1
3.411773083,0
3.411877250,1
3.411981417,0
3.412189833,1
3.412606500,0
3.412814917,1
3.412919083,0
3.413023250,1
3.413127417,0
3.413231667,1
3.413335833,0
3.413544167,1
3.413960917,0
3.414169250,1
3.414273417,0
3.414377667,1
3.414481833,0
3.414586000,1
3.414690167,0
3.414898583,1
3.415315250,0
3.415523667,1
3.415627833,0
3.415732000,1
3.415836167,0
3.415940417,1
3.416044583,0
3.416252917,1
3.416669667,0
3.416878000,1
3.416982250,0
3.417086417,1
3.417190583,0
3.417294750,1
3.417398917,0
3.417607333,1
3.418024083,0
3.418232417,1
3.418336583,0
3.418440750,1
3.418545000,0
3.418649167,1
3.418753333,0
3.418961667,1
3.419378417,0
3.419482583,1
3.419586833,0
3.419691000,1
3.419899333,0
3.420316083,1
3.420732833,0
3.420941167,1
3.421045333,0
3.421149583,1
3.421253750,0
3.421774667,1
7.449258667,1
